UID,Al,ANC,Ca,Cl,cond,DOC,K,Mg,sodium,NH4,NO2,NO3,total.N,pH.lab,total.P,SIO2,SO4,TSS,turb
11146,3.00E-04,2397.82,41.99,6.94,261.6,2.24,1.698,1.919,6.824,3.50E-02,0,0.00163,450,8.04,23.4238,11.442,10.09,24.2,17.91
11151,7.00E-04,2943.06,42.26,8.77,310.4,1.67,1.477,10.33,5.221,0.012,0,0,393,8.51,22.46,7.756,6.37,4.8,5.89
11153,0.0042,1397.43,28.97,18.06,255.6,7.46,3.844,4.574,12.35,0.121,0.01419,0.15953,740,7.67,50.095,15.107,22.27,13.5,23.4
11175,3.00E-04,4872.02,77.23,68.94,761.72,2.66,3.724,24.1,43.24,2.10E-02,0,3.28099,3788,8.21,307.4306,7.008,38.47,8.5,5.11
11176,3.00E-04,5529.63,83.49,26.19,668.31,2.41,2.374,30.32,13.14,4.30E-02,0,2.3156,2688,8.23,56.5269,10.328,33.5,5.8,4.33
11177,0.0019,6154.76,103.8,24.94,748.38,2.49,1.943,33.29,8.035,2.60E-02,0,3.88606,4000,8.32,59.1806,9.367,62.72,3.1,6.45
11180,3.00E-04,6112.78,110.4,105.54,1008.16,9.44,8.103,27.77,60.25,7.60E-02,0,0.23637,975,8.12,381.6769,14.214,66.93,2.3,3.31
11181,3.00E-04,4679.37,70.81,22.43,549.89,1.93,2.595,22.41,11.32,1.30E-02,0,1.78374,2336,8.48,141.6069,6.861,24.06,36.8,23.96
11182,0.0019,5421.12,86.17,161.72,1170.01,3.01,6.48,27.03,115.9,0.062,0,2.90179,3379,8.16,752.985,9.902,55.29,8.4,7.86
11183,0.0018,3689.12,53.75,30.45,537.82,2.09,2.559,23.92,16.93,7.50E-02,0.00088,0.38885,1180,8.26,93.2575,5.5,29,34.2,19.69
11184,3.00E-04,4440.71,70.13,23.72,557.2,3.97,1.786,20.82,10.65,2.50E-02,0.00218,1.2928,1799,8.31,25.8138,9.086,37.59,1.4,3.73
11185,0.004,3416.07,61.12,34.54,559.83,5.85,5.343,21.49,22.32,7.70E-02,0.04376,2.62319,3725,8.15,283.1063,6.489,50.72,15.7,17.92
11186,0.0015,4942.81,77.98,19.06,601.1,2.31,1.71,30.37,7.974,1.50E-02,0.0018,5.70577,6363,8.45,54.0963,10.015,36.13,14.8,9.92
